district,price,GrossSquareMeters,NumberFloorsofBuilding,ItemStatus,NumberOfBathrooms,NumberOfRooms,FloorLocation
1,0.1708542713567839,0.13593256059009484,5,0,1,3,12
1,0.14824120603015076,0.10432033719704951,5,0,1,3,32
1,0.17587939698492464,0.08746048472075868,10,0,1,3,37
1,0.17462311557788945,0.14120126448893572,4,0,1,5,50
1,0.18542713567839195,0.1380400421496312,3,0,1,5,50
1,0.1457286432160804,0.12539515279241306,4,0,1,3,41
1,0.1708542713567839,0.08851422550052686,10,0,1,3,34
1,0.33417085427135673,0.27291886195995785,4,0,2,8,44
1,0.08919597989949749,0.10432033719704951,5,0,1,3,50
1,0.7487437185929647,0.34141201264488935,5,0,2,5,45
1,0.135678391959799,0.09378292939936775,3,0,1,3,0
1,0.13316582914572864,0.12539515279241306,6,0,1,5,40
1,0.2587939698492462,0.20969441517386722,5,1,3,6,51
1,0.15326633165829145,0.12539515279241306,5,0,1,5,39
1,0.15829145728643215,0.11485774499473128,5,0,1,3,12
1,0.17839195979899497,0.09905163329820864,5,0,1,3,24
1,0.15326633165829145,0.09378292939936775,5,0,1,3,41
1,0.15326633165829145,0.12539515279241306,5,0,1,0,41
1,0.22738693467336682,0.20969441517386722,4,0,3,8,24
1,0.1407035175879397,0.09905163329820864,5,0,1,3,41
1,0.19321608040201005,0.11591148577449946,3,0,1,5,0
1,0.15075376884422112,0.12012644889357217,4,0,1,3,24
1,0.15829145728643215,0.11485774499473128,4,0,2,3,0
1,0.20854271356783918,0.1780821917808219,4,0,2,6,24
1,0.24623115577889446,0.20969441517386722,5,0,2,8,32
1,0.0992462311557789,0.08324552160168598,4,0,1,3,40
1,0.24623115577889446,0.1886195995785037,5,0,2,8,51
1,0.12814070351758794,0.09905163329820864,5,0,1,3,50
1,0.1771356783919598,0.10642781875658587,6,0,2,3,24
1,0.12688442211055276,0.13593256059009484,4,0,1,8,50
1,0.38442211055276376,0.28451001053740776,6,0,6,3,35
1,0.23366834170854273,0.20969441517386722,5,0,3,6,51
1,0.16834170854271358,0.08746048472075868,12,0,1,3,37
1,0.09170854271356785,0.062170706006322435,4,0,1,3,50
1,0.1771356783919598,0.10432033719704951,6,0,1,3,43
1,0.20603015075376885,0.14646996838777662,4,0,1,5,42
1,0.21231155778894473,0.16754478398314016,5,0,2,6,32
1,0.1620603015075377,0.09378292939936775,5,0,1,3,12
1,0.22110552763819094,0.20969441517386722,4,0,2,8,32
1,0.2525125628140703,0.19915700737618547,4,0,2,8,32
1,0.23366834170854273,0.20969441517386722,6,0,2,8,34
1,0.2525125628140703,0.19915700737618547,4,0,1,8,32
1,0.17839195979899497,0.1517386722866175,6,0,1,3,12
1,0.09748743718592966,0.08851422550052686,4,0,1,3,40
1,0.11306532663316583,0.07797681770284509,4,0,1,1,0
1,0.2839195979899497,0.20969441517386722,4,0,2,8,32
1,0.24371859296482412,0.32560590094836667,3,0,3,3,45
1,0.371859296482412,0.19915700737618547,5,0,2,11,52
1,0.1670854271356784,0.10432033719704951,3,0,1,3,12
1,0.12814070351758794,0.07270811380400422,5,0,1,1,41
1,0.2022613065326633,0.1517386722866175,3,0,2,8,51
1,0.08793969849246232,0.2054794520547945,1,0,1,3,41
1,0.19170854271356783,0.16754478398314016,3,0,2,8,24
1,0.09045226130653267,0.11485774499473128,5,0,1,3,42
1,0.16331658291457288,0.12012644889357217,3,0,2,3,12
1,0.42211055276381904,0.23076923076923075,4,0,4,11,32
1,0.1670854271356784,0.08746048472075868,12,0,1,3,36
1,0.33417085427135673,0.23076923076923075,4,0,2,8,32
1,0.3969849246231155,0.2518440463645943,4,0,4,8,51
1,0.1658291457286432,0.09905163329820864,4,0,2,3,12
1,0.22110552763819094,0.15700737618545837,4,0,2,7,0
1,0.29648241206030146,0.19388830347734456,5,0,2,6,34
1,0.17964824120603015,0.10432033719704951,5,0,1,3,24
1,0.26507537688442206,0.19915700737618547,5,0,3,8,34
1,0.2839195979899497,0.23076923076923075,5,0,2,8,51
1,0.157035175879397,0.11485774499473128,3,0,1,3,12
1,0.12814070351758794,0.09905163329820864,3,0,1,3,50
1,0.15829145728643215,0.09378292939936775,4,0,1,3,24
1,0.08919597989949749,0.11485774499473128,4,0,1,3,41
1,0.15326633165829145,0.12539515279241306,3,0,1,3,12
1,0.1658291457286432,0.10432033719704951,5,0,1,3,0
1,0.20351758793969849,0.14120126448893572,3,0,1,3,0
1,0.13944723618090452,0.11485774499473128,3,0,1,3,50
1,0.2123113065326633,0.20442571127502634,3,1,2,8,51
1,0.11432160804020101,0.09905163329820864,4,0,1,3,50
1,0.12311557788944724,0.13066385669125397,4,0,1,3,52
1,0.19597989949748743,0.1780821917808219,4,0,2,8,32
1,0.10301507537688442,0.11485774499473128,4,0,1,3,40
1,0.2587939698492462,0.7376185458377239,1,0,1,3,45
1,0.1042713567839196,0.1095890410958904,4,0,1,3,40
1,0.13316582914572864,0.09378292939936775,3,0,1,10,0
1,0.1670854271356784,0.20442571127502634,3,0,2,6,39
1,0.10301507537688442,0.12539515279241306,3,0,1,3,40
1,0.13316582914572864,0.10432033719704951,3,0,1,3,50
1,0.29648241206030146,0.23603793466807166,6,0,2,15,51
1,0.15452261306532664,0.12539515279241306,5,0,2,3,50
1,0.18090452261306533,0.13066385669125397,3,0,2,5,0
1,0.1708542713567839,0.13066385669125397,3,0,1,5,0
1,0.2022613065326633,0.13066385669125397,3,0,1,5,0
1,0.2022613065326633,0.13593256059009484,3,0,1,5,12
1,0.1306532663316583,0.10221285563751316,3,0,1,3,50
1,0.5477386934673366,0.16227608008429925,7,0,2,5,51
1,0.15829145728643215,0.09378292939936775,5,0,1,3,42
1,0.12814070351758794,0.1095890410958904,5,0,1,3,50
1,0.0628140703517588,0.08851422550052686,4,0,1,1,50
1,0.23618090452261306,0.12539515279241306,4,0,1,5,0
1,0.13316582914572864,0.10432033719704951,5,0,1,3,50
1,0.07788944723618091,0.09378292939936775,4,0,1,1,40
1,0.23743718592964824,0.220231822971549,5,0,2,8,51
1,0.21733668341708542,0.220231822971549,4,0,1,8,32
1,0.1771356783919598,0.09905163329820864,4,0,2,3,12
1,0.27135678391959794,0.13066385669125397,4,0,1,5,32
1,0.20603015075376885,0.10432033719704951,5,0,1,3,24
1,0.15829145728643215,0.1886195995785037,4,0,2,5,51
1,0.6369346733668342,0.2054794520547945,4,0,0,0,41
1,0.2587939698492462,0.1886195995785037,5,0,2,8,52
1,0.06909547738693468,0.07270811380400422,4,0,1,3,40
1,0.18341708542713567,0.12539515279241306,5,0,1,5,50
1,0.35929648241206025,0.19915700737618547,5,0,2,7,32
1,0.1972361809045226,0.1886195995785037,4,0,2,8,32
1,0.11180904522613065,0.08851422550052686,2,0,1,3,0
1,0.18341708542713567,0.14120126448893572,3,0,1,5,24
1,0.07035175879396985,0.10432033719704951,4,0,1,3,40
1,0.1884422110552764,0.1517386722866175,4,0,1,5,32
1,0.2587939698492462,0.19388830347734456,5,0,2,8,51
1,0.18216080402010051,0.11485774499473128,4,0,1,3,0
1,0.24623115577889446,0.3150684931506849,4,0,4,21,45
1,0.15075376884422112,0.13066385669125397,5,0,2,5,24
1,0.371859296482412,0.14646996838777662,4,0,1,5,12
1,0.19974874371859297,0.11485774499473128,4,0,1,3,12
1,0.2839195979899497,0.1780821917808219,3,0,2,8,24
1,0.22738693467336682,0.1886195995785037,3,0,2,8,52
1,0.17311557788944723,0.09272918861959957,5,0,1,3,12
1,0.08668341708542714,0.09905163329820864,4,0,1,3,50
1,0.3090452261306532,0.20442571127502634,6,0,2,8,51
1,0.321608040201005,0.08640674394099052,7,0,2,3,34
1,0.19472361809045227,0.09272918861959957,5,0,1,3,43
1,0.1670854271356784,0.1517386722866175,4,0,1,5,43
1,0.18341708542713567,0.10432033719704951,4,0,1,3,0
1,0.1407035175879397,0.220231822971549,4,0,2,11,39
1,0.2399497487437186,0.19494204425711276,5,0,2,8,52
1,0.17361809045226131,0.1095890410958904,4,0,1,3,12
1,0.13316582914572864,0.13593256059009484,5,0,1,3,39
1,0.8994979899497487,0.09378292939936775,5,0,1,3,52
1,0.685929648241206,0.1886195995785037,2,0,2,11,47
1,0.33417085427135673,0.12539515279241306,4,0,1,5,0
